Designator,Mid X,Mid Y,Layer,Rotation
C1,49.5,37,Top,90
C2,42.5,37,Top,270
C3,52,13,Top,270
C5,16,31.25,Top,90
C6,12.5,35.5,Top,90
C7,9,35.5,Top,90
C8,5.72,33.26,Top,180
C9,3.26,29.7,Top,90
C10,17.12,24.24,Top,0
C11,6,5,Top,0
C12,5.99,20.5,Top,270
C13,53,25.75,Top,270
C14,6,17,Top,270
C15,23,9,Top,90
C17,6,7,Top,0
C18,9.5,22.5,Top,180
C19,6,13,Top,90
C20,17,9,Top,90
D1,53,35,Top,180
Q1,53,31.5,Top,180
R1,56.5,36.75,Top,270
R2,63,23,Top,270
R3,55.5,25.75,Top,90
R4,58,25.75,Top,90
R5,51,16,Top,180
R6,66.61,16.69,Top,90
R10,17,38,Top,270
R12,15.5,34,Top,180
R13,6,24.5,Top,90
R14,3.5,24.5,Top,90
R19,14,22.6,Top,270
R20,16.5,16.5,Top,270
R21,9.63,9.63,Top,90
R22,16.5,20.75,Top,270
U1,46,37,Top,90
U2,55.5,20.5,Top,180
U4,29.27,30.49,Top,0
U6,11.03,28.44,Top,270
U7,55.75,16,Top,90
U8,62,15.5,Top,90
U9,11.5,16.5,Top,0
X1,64.5,33.5,Top,180
C4,52,35.5,Bottom,90
J1,10.5,10,Bottom,0
Q2,43,26.5,Bottom,180
Q3,43,20.5,Bottom,180
Q4,11.88,39.5,Bottom,270
R7,45,29,Bottom,0
R8,45,23.5,Bottom,0
R9,33,35,Bottom,90
R11,29,25,Bottom,90
R15,35,25,Bottom,270
R16,32,25,Bottom,270
R17,56.21,8.61,Bottom,90
R18,53.79,8.6,Bottom,270
R23,17,41.5,Bottom,180
R24,18,37,Bottom,270
U3,52.5,26.75,Bottom,270
D2,35,30,Bottom,180
